entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
45 50 0 1 2010 2011 2716654.000000 2716654.000000 2716654.000000
50 55 0 1 2010 2011 2321636.000000 2321636.000000 2321636.000000
55 60 0 1 2010 2011 1882247.000000 1882247.000000 1882247.000000
60 65 0 1 2010 2011 1589977.000000 1589977.000000 1589977.000000
65 70 0 1 2010 2011 1186985.000000 1186985.000000 1186985.000000
70 120 0 1 2010 2011 1707123.000000 1707123.000000 1707123.000000
0 5 0 1 2011 2012 14053500.000000 14053500.000000 14053500.000000
5 10 0 1 2011 2012 13288147.000000 13288147.000000 13288147.000000
10 15 0 1 2011 2012 12198823.000000 12198823.000000 12198823.000000
15 20 0 1 2011 2012 10257621.000000 10257621.000000 10257621.000000
20 25 0 1 2011 2012 8137443.000000 8137443.000000 8137443.000000
25 30 0 1 2011 2012 6850184.000000 6850184.000000 6850184.000000
30 35 0 1 2011 2012 5436316.000000 5436316.000000 5436316.000000
35 40 0 1 2011 2012 4477966.000000 4477966.000000 4477966.000000
40 45 0 1 2011 2012 3599932.000000 3599932.000000 3599932.000000
45 50 0 1 2011 2012 2812141.000000 2812141.000000 2812141.000000
50 55 0 1 2011 2012 2374105.000000 2374105.000000 2374105.000000
55 60 0 1 2011 2012 1933184.000000 1933184.000000 1933184.000000
60 65 0 1 2011 2012 1619869.000000 1619869.000000 1619869.000000
65 70 0 1 2011 2012 1230994.000000 1230994.000000 1230994.000000
70 120 0 1 2011 2012 1776531.000000 1776531.000000 1776531.000000
0 5 0 1 2012 2013 14235908.000000 14235908.000000 14235908.000000
