entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
50 55 0 1 2030 2031 18228432.000000 18228432.000000 18228432.000000
55 60 0 1 2030 2031 16433696.000000 16433696.000000 16433696.000000
60 65 0 1 2030 2031 13792395.000000 13792395.000000 13792395.000000
65 70 0 1 2030 2031 10520501.000000 10520501.000000 10520501.000000
70 120 0 1 2030 2031 13928163.000000 13928163.000000 13928163.000000
0 5 0 1 2031 2032 22546560.000000 17152828.000000 27950850.000000
5 10 0 1 2031 2032 22908120.000000 18505518.000000 27325708.000000
10 15 0 1 2031 2032 23458772.000000 20610306.000000 26366386.000000
15 20 0 1 2031 2032 24216288.000000 23582920.000000 24602134.000000
20 25 0 1 2031 2032 23297072.000000 23297072.000000 23330508.000000
25 30 0 1 2031 2032 23023796.000000 22950048.000000 23023796.000000
30 35 0 1 2031 2032 21875528.000000 21875528.000000 21886424.000000
35 40 0 1 2031 2032 21089992.000000 21089992.000000 21101184.000000
40 45 0 1 2031 2032 20393876.000000 20393876.000000 20439060.000000
45 50 0 1 2031 2032 20074890.000000 20000492.000000 20074890.000000
50 55 0 1 2031 2032 18464968.000000 18464968.000000 18469064.000000
55 60 0 1 2031 2032 16633046.000000 16633046.000000 16633091.000000
60 65 0 1 2031 2032 14090798.000000 14087723.000000 14090798.000000
65 70 0 1 2031 2032 10828450.000000 10828450.000000 10860146.000000
70 120 0 1 2031 2032 14662678.000000 14627414.000000 14662678.000000
0 5 0 1 2032 2033 22482356.000000 17048350.000000 27938144.000000
5 10 0 1 2032 2033 22808538.000000 18175754.000000 27459368.000000
10 15 0 1 2032 2033 23318024.000000 20153700.000000 26555856.000000
15 20 0 1 2032 2033 24082304.000000 22921234.000000 24959658.000000
20 25 0 1 2032 2033 23511424.000000 23496856.000000 23511424.000000
25 30 0 1 2032 2033 22989936.000000 22937952.000000 22989936.000000
30 35 0 1 2032 2033 22122656.000000 22092812.000000 22122656.000000
35 40 0 1 2032 2033 21145064.000000 21145064.000000 21182736.000000
40 45 0 1 2032 2033 20460854.000000 20460854.000000 20509974.000000
45 50 0 1 2032 2033 20067052.000000 19993676.000000 20067052.000000
50 55 0 1 2032 2033 18745304.000000 18709698.000000 18745304.000000
55 60 0 1 2032 2033 16811464.000000 16811464.000000 16832486.000000
60 65 0 1 2032 2033 14392160.000000 14383052.000000 14392160.000000
65 70 0 1 2032 2033 11160814.000000 11160814.000000 11199792.000000
70 120 0 1 2032 2033 15369845.000000 15326666.000000 15369845.000000
0 5 0 1 2033 2034 22422228.000000 16943874.000000 27925440.000000
5 10 0 1 2033 2034 22712704.000000 17845992.000000 27593028.000000
10 15 0 1 2033 2034 23194164.000000 19697092.000000 26745324.000000
15 20 0 1 2033 2034 23879074.000000 22259546.000000 25317184.000000
20 25 0 1 2033 2034 23751980.000000 23663202.000000 23751980.000000
25 30 0 1 2033 2034 22909244.000000 22909244.000000 22925852.000000
30 35 0 1 2033 2034 22381426.000000 22299198.000000 22381426.000000
35 40 0 1 2033 2034 21202172.000000 21202172.000000 21264290.000000
40 45 0 1 2033 2034 20553674.000000 20553674.000000 20580888.000000
45 50 0 1 2033 2034 20015848.000000 19986860.000000 20015848.000000
50 55 0 1 2033 2034 19032136.000000 18950330.000000 19032136.000000
55 60 0 1 2033 2034 16986836.000000 16986836.000000 17031882.000000
60 65 0 1 2033 2034 14693161.000000 14678380.000000 14693161.000000
65 70 0 1 2033 2034 11509144.000000 11509144.000000 11539437.000000
70 120 0 1 2033 2034 16058673.000000 16025917.000000 16058673.000000
0 5 0 1 2034 2035 22358648.000000 16839396.000000 27912734.000000
5 10 0 1 2034 2035 22618652.000000 17516228.000000 27726688.000000
10 15 0 1 2034 2035 23075364.000000 19240486.000000 26934794.000000
15 20 0 1 2034 2035 23667196.000000 21597860.000000 25674708.000000
20 25 0 1 2034 2035 23930840.000000 23829550.000000 23930840.000000
25 30 0 1 2034 2035 22863708.000000 22863708.000000 22913754.000000
30 35 0 1 2034 2035 22590130.000000 22505586.000000 22590130.000000
35 40 0 1 2034 2035 21291126.000000 21291126.000000 21345842.000000
40 45 0 1 2034 2035 20646102.000000 20646102.000000 20651802.000000
45 50 0 1 2034 2035 19973922.000000 19973922.000000 19980044.000000
50 55 0 1 2034 2035 19271182.000000 19190964.000000 19271182.000000
55 60 0 1 2034 2035 17188492.000000 17188492.000000 17231276.000000
60 65 0 1 2034 2035 14987157.000000 14973709.000000 14987157.000000
65 70 0 1 2034 2035 11863258.000000 11863258.000000 11879083.000000
70 120 0 1 2034 2035 16740848.000000 16725168.000000 16740848.000000
0 5 0 1 2035 2036 22289624.000000 16734920.000000 27900028.000000
5 10 0 1 2035 2036 22523408.000000 17186464.000000 27860348.000000
10 15 0 1 2035 2036 22954072.000000 18783880.000000 27124264.000000
15 20 0 1 2035 2036 23484208.000000 20936172.000000 26032234.000000
20 25 0 1 2035 2036 23995896.000000 23995896.000000 23995896.000000
25 30 0 1 2035 2036 22901658.000000 22901658.000000 22901658.000000
30 35 0 1 2035 2036 22711974.000000 22711974.000000 22711974.000000
35 40 0 1 2035 2036 21427394.000000 21427394.000000 21427394.000000
40 45 0 1 2035 2036 20722716.000000 20722716.000000 20722716.000000
45 50 0 1 2035 2036 19973228.000000 19973228.000000 19973228.000000
50 55 0 1 2035 2036 19431596.000000 19431596.000000 19431596.000000
55 60 0 1 2035 2036 17430672.000000 17430672.000000 17430672.000000
60 65 0 1 2035 2036 15269037.000000 15269037.000000 15269037.000000
65 70 0 1 2035 2036 12218728.000000 12218728.000000 12218728.000000
70 120 0 1 2035 2036 17424420.000000 17424420.000000 17424420.000000
0 5 0 1 2036 2037 22252458.000000 16583436.000000 27961078.000000
5 10 0 1 2036 2037 22455712.000000 17083426.000000 27849554.000000
10 15 0 1 2036 2037 22841898.000000 18455468.000000 27258802.000000
15 20 0 1 2036 2037 23320552.000000 20481750.000000 26222542.000000
20 25 0 1 2036 2037 23977452.000000 23339076.000000 24353772.000000
25 30 0 1 2036 2037 23036436.000000 23036436.000000 23069158.000000
30 35 0 1 2036 2037 22771784.000000 22702248.000000 22771784.000000
35 40 0 1 2036 2037 21619912.000000 21619912.000000 21634704.000000
40 45 0 1 2036 2037 20790200.000000 20790200.000000 20806452.000000
45 50 0 1 2036 2037 19996072.000000 19996072.000000 20047044.000000
50 55 0 1 2036 2037 19494262.000000 19430068.000000 19494262.000000
55 60 0 1 2036 2037 17650592.000000 17650592.000000 17668566.000000
60 65 0 1 2036 2037 15449160.000000 15449160.000000 15464910.000000
65 70 0 1 2036 2037 12489457.000000 12489457.000000 12493309.000000
70 120 0 1 2036 2037 18231840.000000 18179136.000000 18231840.000000
0 5 0 1 2037 2038 22195716.000000 16431952.000000 28022126.000000
5 10 0 1 2037 2038 22394676.000000 16980390.000000 27838760.000000
10 15 0 1 2037 2038 22738126.000000 18127054.000000 27393342.000000
15 20 0 1 2037 2038 23178022.000000 20027328.000000 26412850.000000
20 25 0 1 2037 2038 23851000.000000 22682256.000000 24711648.000000
25 30 0 1 2037 2038 23252400.000000 23236662.000000 23252400.000000
30 35 0 1 2037 2038 22738884.000000 22692520.000000 22738884.000000
35 40 0 1 2037 2038 21866046.000000 21842016.000000 21866046.000000
40 45 0 1 2037 2038 20845478.000000 20845478.000000 20890188.000000
45 50 0 1 2037 2038 20062726.000000 20062726.000000 20120860.000000
50 55 0 1 2037 2038 19489060.000000 19428540.000000 19489060.000000
55 60 0 1 2037 2038 17919728.000000 17906460.000000 17919728.000000
60 65 0 1 2037 2038 15615623.000000 15615623.000000 15660782.000000
65 70 0 1 2037 2038 12766613.000000 12766613.000000 12767890.000000
70 120 0 1 2037 2038 19010234.000000 18933854.000000 19010234.000000
0 5 0 1 2038 2039 22122854.000000 16280468.000000 28083176.000000
5 10 0 1 2038 2039 22337212.000000 16877352.000000 27827968.000000
10 15 0 1 2038 2039 22641736.000000 17798642.000000 27527880.000000
15 20 0 1 2038 2039 23054536.000000 19572908.000000 26603160.000000
20 25 0 1 2038 2039 23650720.000000 22025438.000000 25069526.000000
25 30 0 1 2038 2039 23494724.000000 23404164.000000 23494724.000000
30 35 0 1 2038 2039 22661936.000000 22661936.000000 22682794.000000
35 40 0 1 2038 2039 22125972.000000 22049326.000000 22125972.000000
40 45 0 1 2038 2039 20905580.000000 20905580.000000 20973926.000000
45 50 0 1 2038 2039 20158548.000000 20158548.000000 20194674.000000
50 55 0 1 2038 2039 19445392.000000 19427012.000000 19445392.000000
55 60 0 1 2038 2039 18202692.000000 18144354.000000 18202692.000000
60 65 0 1 2038 2039 15788265.000000 15788265.000000 15856655.000000
65 70 0 1 2038 2039 13045943.000000 13042470.000000 13045943.000000
70 120 0 1 2038 2039 19762600.000000 19688570.000000 19762600.000000
0 5 0 1 2039 2040 22039144.000000 16128984.000000 28144224.000000
5 10 0 1 2039 2040 22278198.000000 16774314.000000 27817174.000000
10 15 0 1 2039 2040 22552260.000000 17470228.000000 27662420.000000
15 20 0 1 2039 2040 22939020.000000 19118486.000000 26793468.000000
20 25 0 1 2039 2040 23436446.000000 21368618.000000 25427402.000000
25 30 0 1 2039 2040 23674816.000000 23571664.000000 23674816.000000
30 35 0 1 2039 2040 22621164.000000 22621164.000000 22673068.000000
35 40 0 1 2039 2040 22337496.000000 22256638.000000 22337496.000000
40 45 0 1 2039 2040 20999192.000000 20999192.000000 21057662.000000
45 50 0 1 2039 2040 20257024.000000 20257024.000000 20268490.000000
50 55 0 1 2039 2040 19413196.000000 19413196.000000 19425484.000000
55 60 0 1 2039 2040 18446540.000000 18382248.000000 18446540.000000
60 65 0 1 2039 2040 15995032.000000 15995032.000000 16052527.000000
65 70 0 1 2039 2040 13321481.000000 13317051.000000 13321481.000000
70 120 0 1 2039 2040 20490784.000000 20443288.000000 20490784.000000
0 5 0 1 2040 2041 21948992.000000 15977500.000000 28205274.000000
5 10 0 1 2040 2041 22211054.000000 16671277.000000 27806380.000000
10 15 0 1 2040 2041 22469390.000000 17141816.000000 27796958.000000
15 20 0 1 2040 2041 22823920.000000 18664064.000000 26983776.000000
20 25 0 1 2040 2041 23248540.000000 20711798.000000 25785278.000000
25 30 0 1 2040 2041 23739166.000000 23739166.000000 23739168.000000
30 35 0 1 2040 2041 22663340.000000 22663340.000000 22663342.000000
35 40 0 1 2040 2041 22463948.000000 22463948.000000 22463948.000000
40 45 0 1 2040 2041 21141398.000000 21141398.000000 21141398.000000
45 50 0 1 2040 2041 20342306.000000 20342306.000000 20342306.000000
50 55 0 1 2040 2041 19423956.000000 19423956.000000 19423956.000000
55 60 0 1 2040 2041 18620142.000000 18620142.000000 18620142.000000
60 65 0 1 2040 2041 16248400.000000 16248400.000000 16248400.000000
65 70 0 1 2040 2041 13591632.000000 13591632.000000 13591632.000000
70 120 0 1 2040 2041 21198004.000000 21198004.000000 21198004.000000
0 5 0 1 2041 2042 21873484.000000 15750818.000000 28318332.000000
5 10 0 1 2041 2042 22158984.000000 16520806.000000 27868334.000000
10 15 0 1 2041 2042 22396900.000000 17039294.000000 27786740.000000
15 20 0 1 2041 2042 22710532.000000 18336858.000000 27118620.000000
20 25 0 1 2041 2042 23094292.000000 20259986.000000 25975606.000000
25 30 0 1 2041 2042 23722276.000000 23086570.000000 24095922.000000
30 35 0 1 2041 2042 22795264.000000 22795264.000000 22830632.000000
35 40 0 1 2041 2042 22520598.000000 22455536.000000 22520598.000000
40 45 0 1 2041 2042 21329392.000000 21329392.000000 21348280.000000
45 50 0 1 2041 2042 20405202.000000 20405202.000000 20427600.000000
50 55 0 1 2041 2042 19445976.000000 19445976.000000 19500760.000000
55 60 0 1 2041 2042 18673090.000000 18626124.000000 18673090.000000
60 65 0 1 2041 2042 16456791.000000 16456791.000000 16484447.000000
65 70 0 1 2041 2042 13765572.000000 13765572.000000 13785912.000000
70 120 0 1 2041 2042 22048068.000000 21958220.000000 22048068.000000
0 5 0 1 2042 2043 21781904.000000 15524136.000000 28431390.000000
5 10 0 1 2042 2043 22102204.000000 16370336.000000 27930290.000000
10 15 0 1 2042 2043 22333200.000000 16936770.000000 27776520.000000
15 20 0 1 2042 2043 22604062.000000 18009652.000000 27253464.000000
20 25 0 1 2042 2043 22957994.000000 19808174.000000 26165932.000000
25 30 0 1 2042 2043 23598048.000000 22433974.000000 24452676.000000
30 35 0 1 2042 2043 23009564.000000 22997920.000000 23009564.000000
35 40 0 1 2042 2043 22487500.000000 22447126.000000 22487500.000000
40 45 0 1 2042 2043 21572966.000000 21555162.000000 21572966.000000
45 50 0 1 2042 2043 20459072.000000 20459072.000000 20512896.000000
50 55 0 1 2042 2043 19514644.000000 19514644.000000 19577564.000000
55 60 0 1 2042 2043 18667884.000000 18632106.000000 18667884.000000
60 65 0 1 2042 2043 16715824.000000 16715824.000000 16720494.000000
65 70 0 1 2042 2043 13929751.000000 13929751.000000 13980191.000000
70 120 0 1 2042 2043 22853694.000000 22718434.000000 22853694.000000
0 5 0 1 2043 2044 21677574.000000 15297455.000000 28544450.000000
5 10 0 1 2043 2044 22037372.000000 16219865.000000 27992244.000000
10 15 0 1 2043 2044 22275432.000000 16834248.000000 27766302.000000
15 20 0 1 2043 2044 22506996.000000 17682448.000000 27388308.000000
20 25 0 1 2043 2044 22835420.000000 19356362.000000 26356260.000000
25 30 0 1 2043 2044 23400320.000000 21781380.000000 24809428.000000
30 35 0 1 2043 2044 23251728.000000 23165208.000000 23251728.000000
35 40 0 1 2043 2044 22412728.000000 22412728.000000 22438714.000000
40 45 0 1 2043 2044 21832208.000000 21762046.000000 21832208.000000
45 50 0 1 2043 2044 20521300.000000 20521300.000000 20598190.000000
50 55 0 1 2043 2044 19613306.000000 19613306.000000 19654368.000000
55 60 0 1 2043 2044 18633864.000000 18633864.000000 18638086.000000
60 65 0 1 2043 2044 16993764.000000 16956542.000000 16993764.000000
65 70 0 1 2043 2044 14101563.000000 14101563.000000 14174471.000000
70 120 0 1 2043 2044 23615378.000000 23478650.000000 23615378.000000
0 5 0 1 2044 2045 21563992.000000 15070773.000000 28657508.000000
5 10 0 1 2044 2045 21962258.000000 16069395.000000 28054200.000000
10 15 0 1 2044 2045 22219126.000000 16731726.000000 27756082.000000
15 20 0 1 2044 2045 22420290.000000 17355242.000000 27523152.000000
20 25 0 1 2044 2045 22715900.000000 18904550.000000 26546586.000000
25 30 0 1 2044 2045 23188012.000000 21128784.000000 25166182.000000
30 35 0 1 2044 2045 23433220.000000 23332498.000000 23433220.000000
35 40 0 1 2044 2045 22375512.000000 22375512.000000 22430304.000000
