entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
55 60 0 1 1995 1996 456461.000000 456461.000000 456461.000000
60 65 0 1 1995 1996 402177.000000 402177.000000 402177.000000
65 70 0 1 1995 1996 300398.000000 300398.000000 300398.000000
70 120 0 1 1995 1996 433168.000000 433168.000000 433168.000000
0 5 0 1 1996 1997 4736455.000000 4736455.000000 4736455.000000
5 10 0 1 1996 1997 4389820.000000 4389820.000000 4389820.000000
10 15 0 1 1996 1997 3909188.000000 3909188.000000 3909188.000000
15 20 0 1 1996 1997 3285724.000000 3285724.000000 3285724.000000
20 25 0 1 1996 1997 2681254.000000 2681254.000000 2681254.000000
25 30 0 1 1996 1997 2122228.000000 2122228.000000 2122228.000000
30 35 0 1 1996 1997 1682872.000000 1682872.000000 1682872.000000
35 40 0 1 1996 1997 1335262.000000 1335262.000000 1335262.000000
40 45 0 1 1996 1997 1061075.000000 1061075.000000 1061075.000000
45 50 0 1 1996 1997 783691.000000 783691.000000 783691.000000
50 55 0 1 1996 1997 538627.000000 538627.000000 538627.000000
55 60 0 1 1996 1997 455303.000000 455303.000000 455303.000000
60 65 0 1 1996 1997 406749.000000 406749.000000 406749.000000
65 70 0 1 1996 1997 310530.000000 310530.000000 310530.000000
70 120 0 1 1996 1997 448956.000000 448956.000000 448956.000000
0 5 0 1 1997 1998 4876916.000000 4876916.000000 4876916.000000
5 10 0 1 1997 1998 4436410.000000 4436410.000000 4436410.000000
10 15 0 1 1997 1998 4013247.000000 4013247.000000 4013247.000000
15 20 0 1 1997 1998 3404494.000000 3404494.000000 3404494.000000
20 25 0 1 1997 1998 2780950.000000 2780950.000000 2780950.000000
25 30 0 1 1997 1998 2204844.000000 2204844.000000 2204844.000000
30 35 0 1 1997 1998 1734461.000000 1734461.000000 1734461.000000
35 40 0 1 1997 1998 1373715.000000 1373715.000000 1373715.000000
40 45 0 1 1997 1998 1092818.000000 1092818.000000 1092818.000000
45 50 0 1 1997 1998 824032.000000 824032.000000 824032.000000
50 55 0 1 1997 1998 567900.000000 567900.000000 567900.000000
55 60 0 1 1997 1998 452181.000000 452181.000000 452181.000000
60 65 0 1 1997 1998 408757.000000 408757.000000 408757.000000
65 70 0 1 1997 1998 320838.000000 320838.000000 320838.000000
70 120 0 1 1997 1998 462551.000000 462551.000000 462551.000000
0 5 0 1 1998 1999 5062827.000000 5062827.000000 5062827.000000
5 10 0 1 1998 1999 4456922.000000 4456922.000000 4456922.000000
10 15 0 1 1998 1999 4107378.000000 4107378.000000 4107378.000000
15 20 0 1 1998 1999 3520195.000000 3520195.000000 3520195.000000
20 25 0 1 1998 1999 2880936.000000 2880936.000000 2880936.000000
25 30 0 1 1998 1999 2291655.000000 2291655.000000 2291655.000000
30 35 0 1 1998 1999 1788070.000000 1788070.000000 1788070.000000
35 40 0 1 1998 1999 1412496.000000 1412496.000000 1412496.000000
40 45 0 1 1998 1999 1120412.000000 1120412.000000 1120412.000000
45 50 0 1 1998 1999 862534.000000 862534.000000 862534.000000
50 55 0 1 1998 1999 601501.000000 601501.000000 601501.000000
55 60 0 1 1998 1999 450378.000000 450378.000000 450378.000000
60 65 0 1 1998 1999 409005.000000 409005.000000 409005.000000
65 70 0 1 1998 1999 330687.000000 330687.000000 330687.000000
70 120 0 1 1998 1999 474807.000000 474807.000000 474807.000000
0 5 0 1 1999 2000 5253640.000000 5253640.000000 5253640.000000
5 10 0 1 1999 2000 4473402.000000 4473402.000000 4473402.000000
10 15 0 1 1999 2000 4190638.000000 4190638.000000 4190638.000000
